gene	logfc	fdr
comp102628_c0_seq1_m.12909	-0.596057465	0.542854603
comp10263_c0_seq1_m.4660	0.512999226	0.034709733
comp10263_c0_seq1_m.4661	0.104654222	0.869391575
comp10264_c0_seq1_m.4662	-0.228056582	0.76314338
comp10264_c0_seq1_m.4663	0.161569559	0.932995243
comp10265_c0_seq1_m.4664	0.71539887	0.392202431
comp102656_c0_seq1_m.12911	-0.560001899	0.413698002
comp10266_c0_seq1_m.4665	0.284068046	0.767261459
comp10267_c0_seq1_m.4667	0.036219642	0.980152905
comp10267_c0_seq1_m.4668	0.146859395	0.842410364
comp102678_c0_seq1_m.12913	-0.10316877	0.954953837
comp10268_c0_seq1_m.23600	-0.110452827	0.973861606
comp10268_c0_seq2_m.23602	-0.006335767	0.99676377
comp102682_c0_seq1_m.12914	-0.253605342	0.914143737
comp10269_c0_seq1_m.4669	8.062042016	2.07E-31
comp102696_c0_seq1_m.12918	-0.519775218	0.529624761
comp10270_c0_seq1_m.4670	2.594873119	1.39E-07
comp10271_c0_seq1_m.17534	-0.272591657	0.769315993
comp102716_c0_seq1_m.12920	-0.158081942	0.939315963
comp10272_c0_seq1_m.4671	0.26500797	0.726165878
comp102721_c0_seq1_m.12921	0.01995369	0.990928873
comp10273_c0_seq2_m.16997	-0.258397757	0.229778601
comp10273_c0_seq2_m.16998	0.011578925	0.992868733
comp10273_c0_seq2_m.16999	0.123451484	0.952145468
comp10275_c1_seq1_m.26649	-0.05485572	0.987529757
comp102767_c0_seq1_m.12922	-0.707354565	0.531660028
comp10277_c1_seq1_m.38142	-0.537317361	0.207938456
comp102771_c0_seq1_m.12923	-0.766972042	0.420063093
comp10278_c0_seq1_m.17393	-0.031779327	0.98084376
comp102786_c0_seq1_m.12924	0.354634751	0.805572159
comp102787_c0_seq1_m.12925	-0.305210663	0.592368024
comp10279_c0_seq1_m.23310	-0.188722506	0.724569512
comp1028_c0_seq1_m.279	0.032860441	0.990471297
comp10280_c0_seq1_m.4672	0.061630325	0.964843196
comp102804_c0_seq1_m.12926	0.28164617	0.900700305
comp10281_c0_seq1_m.4674	-0.498689422	0.123933719
comp10282_c0_seq1_m.37420	-0.263008722	0.35793926
comp10283_c0_seq1_m.19482	1.238788984	0.439866022
comp10283_c0_seq1_m.19483	-0.077852644	0.974491851
comp10283_c0_seq1_m.19485	-0.381201578	0.618290766
comp10283_c0_seq2_m.19486	-0.093736265	0.972558192
comp10283_c0_seq2_m.19487	-0.077851781	0.974491851
comp10283_c0_seq2_m.19488	-0.015850878	0.993716066
comp10283_c0_seq2_m.19489	-0.381201528	0.618290766
comp10283_c0_seq3_m.19490	-0.249611087	0.838898994
comp10283_c0_seq3_m.19491	-0.077853406	0.974491851
comp10283_c0_seq3_m.19493	-0.381201569	0.618290766
comp10283_c0_seq4_m.19494	-0.093735354	0.972558192
comp10283_c0_seq4_m.19495	-0.077854797	0.974491851
comp10283_c0_seq4_m.19496	-0.015850856	0.993716066
comp10283_c0_seq4_m.19497	-0.381200961	0.618290766
comp10284_c0_seq1_m.4675	-0.0888461	0.934322196
comp102843_c0_seq1_m.12927	0.748404137	0.067173922
comp10285_c0_seq1_m.4676	0.026975238	0.988736817
comp10287_c0_seq1_m.4677	-0.303627924	0.623393608
